,question,correct,options
285,The myocardium is formed from what type of muscle?,Cardiac Muscle,"['Smooth Muscle', 'Cardiac Muscle', 'Skeletal Muscle', 'Striated Muscle']"
286,"Digestive reproductive, respiratory, urinary tracts and blood vessels are made from what type of muscle?",Smooth muscle,"['Smooth muscle', 'Cardiac muscle', 'Non-striated muscle', 'Skeletal muscle']"
287,Which one of these fascia is NOT part of a muscle fibre,Petrolmysium,"['Petrolmysium', 'Endomysium', 'Epimysium', 'Perimysium']"
288,Type 1 Slow twitch Fibres have the following properties ,"Firing Threshold Low, Myoglobin High, Energy fuels Glucose and fat","['Firing Threshold Low, Myoglobin High, Energy fuels Glucose, glycogen and PC', 'Firing Threshold Low, Myoglobin low, Energy fuels Glucose and fat', 'Firing Threshold High, Myoglobin High, Energy fuels Glucose and glycogen', 'Firing Threshold Low, Myoglobin High, Energy fuels Glucose and fat']"
289,Which statement about changes to muscle types is TRUE.,It is NOT possible to change a muscle fibre from a type 1 to Type 2 or vice Versa,"['It is possible to change a muscle fibre from a type 1 to Type 2a or vice Versa', 'It is NOT possible to change a muscle fibre from a type 1 to Type 2 or vice Versa', 'It is NOT possible to change a muscle fibre from a type 2a to Type 2b or vice Versa', 'It is possible to change a muscle fibre from a type 1 to Type 2b or vice Versa']"
290,"Which muscle of the shoulder girdle joint actions include Elevating the scapula, assists in downward rotation of the scapula and laterally flexes the neck?",Levator Scapulae,"['Trapezius', 'Rhomboids', 'Serratus Anterior', 'Levator Scapulae']"
291,Which muscle of the shoulder girdie joint actions include protacting the scapula and upwardly rotates the scapula (works as a synergist with the trapezius)?,Serratus Anterior,"['Levator Scapulae', 'Serratus Anterior', 'Rhomboids', 'Pectoralis Minor']"
292,"Which muscle of the shoulder joint action includes medial roatation, adduction and extension of the shoulder joint?",Teres Major,"['Teres Minor', 'Teres Major', 'Pectoralis Major', 'Pectoralis Minor']"
293,Which muscle in the rotator cuff joint actions include assisting the deltoid in abduction of the arm and stabilises the shoulder joint helping to prevent downward dislocation?,Suprasinatus,"['Subscapularis', 'Suprasinatus', 'Teres Minor', 'Infraspinatus']"
294,Which muscle of the arm crosses the shoulder/ elbow and supinates the forearm?,Biceps Brachii,"['Brachioradialis', 'Triceps brachii', 'Brachialis', 'Biceps Brachii']"
295,Which muscle of the vertebral column joint actions include extending the head and rotates it to the same side/ extends the spine?,Longuissimus Group,"['Illocostalis group', 'Multifidus', 'Spinalis', 'Longuissimus Group']"
296,Which anterior abdominal wall muscles joints cross intervertebral joints of the lumbar and lower thoracic vertebrae.,Internal Obliques,"['Rectus abdominis', 'External Obliques', 'Internal Obliques', 'Transverse Abdominis']"
297,Which anterior abdominal wall muscles joint actions include compression of the abdominal cavity and support of abdominal contents,Transverse abdominis,"['Internal Obliques', 'Transverse abdominis', 'External Obliques', 'Rectus abdominis']"
298,Which muscle of the hip joint joint actions include abducting the hip/ assists in turning the thigh inwards and laterally rotates the hip when hip is flexed,Gluteus Medius,"['Gluteus Medius', 'Tensor fasica latae', 'Sarorius', 'Gluteus Maximus']"
299,Which muscle of the hip region joint action includes adduction/ flexion of the hip and assists in turning the thigh inwards?,Pectineus,"['Adductor Magnus', 'Pectineus', 'Gracilis', 'Adductor brevis']"
